date,totalPoints,remaining,ideal
04.03.2014,9,9,8
04.04.2014,9,9,8
04.05.2014,9,9,7
04.06.2014,9,9,7
04.07.2014,9,9,7
04.08.2014,9,9,6
04.09.2014,9,9,6
04.10.2014,9,9,6
04.11.2014,9,9,5
04.12.2014,9,9,5
04.13.2014,9,9,5
04.14.2014,26,21,14
04.15.2014,26,21,13
04.16.2014,26,21,12
04.17.2014,26,21,11
04.18.2014,26,21,10
04.19.2014,26,21,9
04.20.2014,26,21,8
04.21.2014,26,13,7
04.22.2014,26,13,5
04.23.2014,26,13,5
04.24.2014,26,13,4
04.25.2014,26,13,3
04.26.2014,29,7,2
04.27.2014,29,0,1
04.28.2014,29,0,0